MMWRyear,MMWRweek,MMWRday,region,establishments,visits
2020,6,1,MN,5733,44619
2020,6,1,MO,6950,64189
2020,6,1,MS,3127,36865
2020,6,1,MT,1466,4364
2020,6,1,NC,12317,117321
2020,6,1,ND,869,5415
2020,6,1,NE,2318,19378
2020,6,1,NH,1926,9738
2020,6,1,NJ,15391,108040
2020,6,1,NM,2450,13822
2020,6,1,NV,3454,42806
2020,6,1,NY,35047,268081
2020,6,1,OH,13658,114604
2020,6,1,OK,4502,52769
2020,6,1,OR,7220,35089
2020,6,1,PA,18113,116225
2020,6,1,RI,1946,10567
2020,6,1,SC,6732,64534
2020,6,1,SD,1025,6090
2020,6,1,TN,8031,89237
2020,6,1,TX,35965,409765
2020,6,1,UT,3126,14765
2020,6,1,VA,9933,75904
2020,6,1,VT,1002,4107
2020,6,1,WA,10257,53691
2020,6,1,WI,8551,56234
2020,6,1,WV,1883,14828
2020,6,1,WY,756,3412
2020,6,2,AK,918,3743
2020,6,2,AL,5381,80081
2020,6,2,AR,3257,39653
2020,6,2,AZ,7671,69328
2020,6,2,CA,57555,396354
2020,6,2,CO,7686,46620
2020,6,2,CT,5729,32380
2020,6,2,DC,1800,24446
2020,6,2,DE,1360,8796
2020,6,2,FL,28143,303414
2020,6,2,GA,13024,144819
2020,6,2,HI,2599,23705
2020,6,2,IA,4003,31918
2020,6,2,ID,2091,13121
2020,6,2,IL,17748,142348
2020,6,2,IN,7406,63493
2020,6,2,KS,3124,30224
2020,6,2,KY,4239,46677
2020,6,2,LA,5781,60688
2020,6,2,MA,10403,65472
2020,6,2,MD,7058,61506
2020,6,2,ME,2003,7257
2020,6,2,MI,11509,91404
2020,6,2,MN,5720,48947
2020,6,2,MO,6902,73280
2020,6,2,MS,3117,37673
2020,6,2,MT,1450,5481
2020,6,2,NC,12277,119213
2020,6,2,ND,873,6255
2020,6,2,NE,2304,20023
2020,6,2,NH,1904,9462
2020,6,2,NJ,15361,116971
2020,6,2,NM,2426,15530
2020,6,2,NV,3431,38611
2020,6,2,NY,34907,328096
2020,6,2,OH,13608,117432
2020,6,2,OK,4485,56631
2020,6,2,OR,7205,41616
2020,6,2,PA,18084,131729
2020,6,2,RI,1940,10239
2020,6,2,SC,6743,64225
2020,6,2,SD,1014,6408
2020,6,2,TN,8023,88941
2020,6,2,TX,35870,420635
2020,6,2,UT,3122,19578
2020,6,2,VA,9924,85224
2020,6,2,VT,988,3666
2020,6,2,WA,10224,68213
2020,6,2,WI,8501,51395
2020,6,2,WV,1881,16129
2020,6,2,WY,748,3172
2020,6,3,AK,918,3683
2020,6,3,AL,5381,81536
2020,6,3,AR,3257,39658
2020,6,3,AZ,7671,68190
2020,6,3,CA,57555,408584
2020,6,3,CO,7686,45936
2020,6,3,CT,5729,32556
2020,6,3,DC,1800,22664
2020,6,3,DE,1360,8583
2020,6,3,FL,28143,287072
2020,6,3,GA,13024,146166
2020,6,3,HI,2599,22741
2020,6,3,IA,4003,32430
2020,6,3,ID,2091,13224
2020,6,3,IL,17748,142511
2020,6,3,IN,7406,62387
2020,6,3,KS,3124,29715
2020,6,3,KY,4239,45668
2020,6,3,LA,5781,62119
2020,6,3,MA,10403,66308
2020,6,3,MD,7058,60012
2020,6,3,ME,2003,7263
2020,6,3,MI,11509,90772
2020,6,3,MN,5720,49648
2020,6,3,MO,6902,73842
2020,6,3,MS,3117,37982
2020,6,3,MT,1450,5594
2020,6,3,NC,12277,121196
2020,6,3,ND,873,6635
2020,6,3,NE,2304,21237
2020,6,3,NH,1904,9515
2020,6,3,NJ,15361,117947
2020,6,3,NM,2426,13970
2020,6,3,NV,3431,36700
2020,6,3,NY,34907,325518
2020,6,3,OH,13608,114400
2020,6,3,OK,4485,54967
2020,6,3,OR,7205,41250
2020,6,3,PA,18084,128131
2020,6,3,RI,1940,10209
2020,6,3,SC,6743,66034
2020,6,3,SD,1014,6709
2020,6,3,TN,8023,86375
2020,6,3,TX,35870,406911
2020,6,3,UT,3122,25345
2020,6,3,VA,9924,84958
2020,6,3,VT,988,3525
2020,6,3,WA,10224,67272
2020,6,3,WI,8501,53509
2020,6,3,WV,1881,15692
2020,6,3,WY,748,3759
2020,6,4,AK,918,3913
2020,6,4,AL,5381,77435
2020,6,4,AR,3257,40140
2020,6,4,AZ,7671,70144
2020,6,4,CA,57555,421116
2020,6,4,CO,7686,54600
2020,6,4,CT,5729,33184
2020,6,4,DC,1800,22391
2020,6,4,DE,1360,8417
2020,6,4,FL,28143,296040
2020,6,4,GA,13024,148253
2020,6,4,HI,2599,23469
2020,6,4,IA,4003,34376
2020,6,4,ID,2091,13281
2020,6,4,IL,17748,140871
2020,6,4,IN,7406,62050
2020,6,4,KS,3124,32892
2020,6,4,KY,4239,47957
2020,6,4,LA,5781,61864
2020,6,4,MA,10403,67496
2020,6,4,MD,7058,60097
2020,6,4,ME,2003,7563
2020,6,4,MI,11509,95408
2020,6,4,MN,5720,51631
2020,6,4,MO,6902,69235
2020,6,4,MS,3117,37065
2020,6,4,MT,1450,6020
2020,6,4,NC,12277,123111
2020,6,4,ND,873,7080
2020,6,4,NE,2304,22562
2020,6,4,NH,1904,10252
2020,6,4,NJ,15361,118353
2020,6,4,NM,2426,15139
2020,6,4,NV,3431,40292
2020,6,4,NY,34907,323973
2020,6,4,OH,13608,119025
2020,6,4,OK,4485,36638
2020,6,4,OR,7205,42842
2020,6,4,PA,18084,132240
2020,6,4,RI,1940,10957
2020,6,4,SC,6743,67610
2020,6,4,SD,1014,7294
2020,6,4,TN,8023,88218
2020,6,4,TX,35870,389843
2020,6,4,UT,3122,25844
2020,6,4,VA,9924,85716
2020,6,4,VT,988,3588
2020,6,4,WA,10224,69869
2020,6,4,WI,8501,56122
2020,6,4,WV,1881,15920
2020,6,4,WY,748,4104
2020,6,5,AK,918,4037
2020,6,5,AL,5381,86864
2020,6,5,AR,3257,44111
2020,6,5,AZ,7671,73489
2020,6,5,CA,57555,432905
2020,6,5,CO,7686,56483
2020,6,5,CT,5729,33996
2020,6,5,DC,1800,24325
2020,6,5,DE,1360,8818
2020,6,5,FL,28143,308985
2020,6,5,GA,13024,144365
2020,6,5,HI,2599,23434
2020,6,5,IA,4003,37457
2020,6,5,ID,2091,14306
2020,6,5,IL,17748,150663
2020,6,5,IN,7406,65398
2020,6,5,KS,3124,34045
2020,6,5,KY,4239,50405
2020,6,5,LA,5781,67774
2020,6,5,MA,10403,66406
2020,6,5,MD,7058,61240
2020,6,5,ME,2003,6354
2020,6,5,MI,11509,93462
2020,6,5,MN,5720,54169
2020,6,5,MO,6902,78454
2020,6,5,MS,3117,43392
2020,6,5,MT,1450,6054
2020,6,5,NC,12277,112663
2020,6,5,ND,873,7023
2020,6,5,NE,2304,23623
2020,6,5,NH,1904,9078
2020,6,5,NJ,15361,121044
2020,6,5,NM,2426,16340
2020,6,5,NV,3431,41604
2020,6,5,NY,34907,322166
2020,6,5,OH,13608,121982
2020,6,5,OK,4485,60666
2020,6,5,OR,7205,44658
2020,6,5,PA,18084,135496
2020,6,5,RI,1940,10707
2020,6,5,SC,6743,62507
2020,6,5,SD,1014,7434
2020,6,5,TN,8023,97549
2020,6,5,TX,35870,447715
2020,6,5,UT,3122,26320
2020,6,5,VA,9924,86801
2020,6,5,VT,988,3595
2020,6,5,WA,10224,70873
2020,6,5,WI,8501,60099
2020,6,5,WV,1881,17213
2020,6,5,WY,748,4125
2020,6,6,AK,918,5431
2020,6,6,AL,5381,127704
2020,6,6,AR,3257,60577
2020,6,6,AZ,7671,103868
2020,6,6,CA,57555,551041
2020,6,6,CO,7686,59005
2020,6,6,CT,5729,44649
2020,6,6,DC,1800,25020
2020,6,6,DE,1360,11889
2020,6,6,FL,28143,416149
2020,6,6,GA,13024,223440
2020,6,6,HI,2599,28106
2020,6,6,IA,4003,52849
2020,6,6,ID,2091,19710
2020,6,6,IL,17748,212810
2020,6,6,IN,7406,102545
2020,6,6,KS,3124,48132
2020,6,6,KY,4239,66768
2020,6,6,LA,5781,100627
2020,6,6,MA,10403,85338
2020,6,6,MD,7058,81260
2020,6,6,ME,2003,7169
2020,6,6,MI,11509,138504
2020,6,6,MN,5720,75819
2020,6,6,MO,6902,113693
2020,6,6,MS,3117,64189
2020,6,6,MT,1450,8487
2020,6,6,NC,12277,186194
2020,6,6,ND,873,10084
2020,6,6,NE,2304,33556
2020,6,6,NH,1904,12725
2020,6,6,NJ,15361,158383
2020,6,6,NM,2426,22620
2020,6,6,NV,3431,57484
2020,6,6,NY,34907,371704
2020,6,6,OH,13608,173251
2020,6,6,OK,4485,86566
2020,6,6,OR,7205,57141
2020,6,6,PA,18084,174357
2020,6,6,RI,1940,15344
2020,6,6,SC,6743,105551
2020,6,6,SD,1014,10644
2020,6,6,TN,8023,136062
2020,6,6,TX,35870,615528
2020,6,6,UT,3122,37304
2020,6,6,VA,9924,117861
2020,6,6,VT,988,3790
2020,6,6,WA,10224,90946
2020,6,6,WI,8501,88578
2020,6,6,WV,1881,20438
2020,6,6,WY,748,5368
2020,6,7,AK,918,4911
2020,6,7,AL,5381,128278
2020,6,7,AR,3257,61613
2020,6,7,AZ,7671,109879
2020,6,7,CA,57555,570909
2020,6,7,CO,7686,84912
2020,6,7,CT,5729,50114
2020,6,7,DC,1800,21650
2020,6,7,DE,1360,13679
2020,6,7,FL,28143,473376
2020,6,7,GA,13024,202907
2020,6,7,HI,2599,26787
2020,6,7,IA,4003,64083
2020,6,7,ID,2091,19940
2020,6,7,IL,17748,237455
2020,6,7,IN,7406,113448
2020,6,7,KS,3124,55297
2020,6,7,KY,4239,73824
2020,6,7,LA,5781,107968
2020,6,7,MA,10403,90161
2020,6,7,MD,7058,91317
2020,6,7,ME,2003,12513
2020,6,7,MI,11509,152746
2020,6,7,MN,5720,87757
2020,6,7,MO,6902,130183
2020,6,7,MS,3117,69286
2020,6,7,MT,1450,7894
2020,6,7,NC,12277,190049
2020,6,7,ND,873,11882
2020,6,7,NE,2304,37520
2020,6,7,NH,1904,17809
2020,6,7,NJ,15361,181218
2020,6,7,NM,2426,24315
2020,6,7,NV,3431,61433
2020,6,7,NY,34907,395898
2020,6,7,OH,13608,201055
2020,6,7,OK,4485,94686
2020,6,7,OR,7205,56220
2020,6,7,PA,18084,205876
2020,6,7,RI,1940,17698
2020,6,7,SC,6743,105870
2020,6,7,SD,1014,12614
2020,6,7,TN,8023,146561
2020,6,7,TX,35870,666896
2020,6,7,UT,3122,39419
2020,6,7,VA,9924,127855
2020,6,7,VT,988,7809
2020,6,7,WA,10224,87701
2020,6,7,WI,8501,100461
2020,6,7,WV,1881,23953
2020,6,7,WY,748,5286
2020,7,1,AK,918,3430
2020,7,1,AL,5381,90137
2020,7,1,AR,3257,39576
2020,7,1,AZ,7671,77761
2020,7,1,CA,57555,433315
2020,7,1,CO,7686,52636
2020,7,1,CT,5729,32178
2020,7,1,DC,1800,15249
2020,7,1,DE,1360,9209
2020,7,1,FL,28143,349241
2020,7,1,GA,13024,164044
2020,7,1,HI,2599,21979
2020,7,1,IA,4003,34582
2020,7,1,ID,2091,12096
2020,7,1,IL,17748,149052
2020,7,1,IN,7406,70634
2020,7,1,KS,3124,33681
2020,7,1,KY,4239,50673
2020,7,1,LA,5781,70994
2020,7,1,MA,10403,60403
2020,7,1,MD,7058,62299
2020,7,1,ME,2003,7964
2020,7,1,MI,11509,91024
2020,7,1,MN,5720,46482
2020,7,1,MO,6902,78270
2020,7,1,MS,3117,43679
2020,7,1,MT,1450,5391
2020,7,1,NC,12277,135629
2020,7,1,ND,873,6929
2020,7,1,NE,2304,22825
2020,7,1,NH,1904,11326
2020,7,1,NJ,15361,125407
2020,7,1,NM,2426,17305
2020,7,1,NV,3431,46940
2020,7,1,NY,34907,287076
2020,7,1,OH,13608,128489
2020,7,1,OK,4485,62988
2020,7,1,OR,7205,41237
2020,7,1,PA,18084,135048
2020,7,1,RI,1940,11619
2020,7,1,SC,6743,73350
2020,7,1,SD,1014,6746
2020,7,1,TN,8023,105903
2020,7,1,TX,35870,471679
2020,7,1,UT,3122,19027
2020,7,1,VA,9924,89404
2020,7,1,VT,988,4906
2020,7,1,WA,10224,63910
2020,7,1,WI,8501,47003
2020,7,1,WV,1881,16237
2020,7,1,WY,748,3674
2020,7,2,AK,928,3829
2020,7,2,AL,5374,73270
2020,7,2,AR,3261,38808
2020,7,2,AZ,7674,68259
2020,7,2,CA,57702,417595
2020,7,2,CO,7691,53522
2020,7,2,CT,5722,32061
2020,7,2,DC,1794,21775
2020,7,2,DE,1375,9252
2020,7,2,FL,28157,305545
2020,7,2,GA,13055,139613
2020,7,2,HI,2623,24357
2020,7,2,IA,4023,32233
2020,7,2,ID,2095,13506
2020,7,2,IL,17728,143722
2020,7,2,IN,7401,62595
2020,7,2,KS,3115,29855
2020,7,2,KY,4233,44549
2020,7,2,LA,5782,59167
2020,7,2,MA,10398,64492
2020,7,2,MD,7058,57695
2020,7,2,ME,2040,6948
2020,7,2,MI,11520,90393
2020,7,2,MN,5716,48385
2020,7,2,MO,6922,71600
2020,7,2,MS,3119,35461
2020,7,2,MT,1451,5619
2020,7,2,NC,12339,118137
2020,7,2,ND,875,6243
2020,7,2,NE,2310,20763
2020,7,2,NH,1905,9978
2020,7,2,NJ,15387,112280
2020,7,2,NM,2443,16111
2020,7,2,NV,3430,38820
2020,7,2,NY,34907,314909
2020,7,2,OH,13622,115244
2020,7,2,OK,4498,55393
2020,7,2,OR,7212,41498
2020,7,2,PA,18114,126479
2020,7,2,RI,1939,10075
2020,7,2,SC,6735,64291
2020,7,2,SD,1021,6516
2020,7,2,TN,8044,86819
2020,7,2,TX,35915,403219
2020,7,2,UT,3137,29214
2020,7,2,VA,9951,82963
2020,7,2,VT,996,3740
2020,7,2,WA,10258,68291
2020,7,2,WI,8511,52089
2020,7,2,WV,1878,15387
2020,7,2,WY,739,3835
2020,7,3,AK,928,3694
2020,7,3,AL,5374,80665
2020,7,3,AR,3261,41263
2020,7,3,AZ,7674,68984
2020,7,3,CA,57702,415415
2020,7,3,CO,7691,53812
2020,7,3,CT,5722,33255
2020,7,3,DC,1794,22598
2020,7,3,DE,1375,9515
2020,7,3,FL,28157,293569
2020,7,3,GA,13055,149230
2020,7,3,HI,2623,23877
2020,7,3,IA,4023,33981
2020,7,3,ID,2095,13905
2020,7,3,IL,17728,149539
2020,7,3,IN,7401,65853
2020,7,3,KS,3115,31933
2020,7,3,KY,4233,46505
2020,7,3,LA,5782,62019
2020,7,3,MA,10398,65324
2020,7,3,MD,7058,59163
2020,7,3,ME,2040,7465
2020,7,3,MI,11520,93530
2020,7,3,MN,5716,51010
2020,7,3,MO,6922,76432
2020,7,3,MS,3119,38515
2020,7,3,MT,1451,5611
2020,7,3,NC,12339,122152
2020,7,3,ND,875,7041
2020,7,3,NE,2310,22294
2020,7,3,NH,1905,10319
2020,7,3,NJ,15387,117805
2020,7,3,NM,2443,14233
2020,7,3,NV,3430,38013
2020,7,3,NY,34907,322476
2020,7,3,OH,13622,119575
2020,7,3,OK,4498,57350
2020,7,3,OR,7212,41927
2020,7,3,PA,18114,129357
2020,7,3,RI,1939,10388
2020,7,3,SC,6735,66547
2020,7,3,SD,1021,7086
2020,7,3,TN,8044,90941
2020,7,3,TX,35915,402100
2020,7,3,UT,3137,29884
2020,7,3,VA,9951,84463
2020,7,3,VT,996,3641
2020,7,3,WA,10258,69100
2020,7,3,WI,8511,54865
2020,7,3,WV,1878,16054
2020,7,3,WY,739,4017
2020,7,4,AK,928,4007
2020,7,4,AL,5374,84614
2020,7,4,AR,3261,41987
2020,7,4,AZ,7674,73980
2020,7,4,CA,57702,431207
2020,7,4,CO,7691,56918
2020,7,4,CT,5722,35975
2020,7,4,DC,1794,25083
2020,7,4,DE,1375,9995
2020,7,4,FL,28157,311326
2020,7,4,GA,13055,158760
2020,7,4,HI,2623,24435
2020,7,4,IA,4023,34388
2020,7,4,ID,2095,14681
2020,7,4,IL,17728,149958
2020,7,4,IN,7401,65370
2020,7,4,KS,3115,31261
2020,7,4,KY,4233,48143
2020,7,4,LA,5782,65143
2020,7,4,MA,10398,72422
2020,7,4,MD,7058,63609
2020,7,4,ME,2040,8497
2020,7,4,MI,11520,100276
2020,7,4,MN,5716,52257
2020,7,4,MO,6922,73113
2020,7,4,MS,3119,38589
2020,7,4,MT,1451,6048
2020,7,4,NC,12339,127704
2020,7,4,ND,875,6108
2020,7,4,NE,2310,22887
2020,7,4,NH,1905,10469
2020,7,4,NJ,15387,126300
2020,7,4,NM,2443,16187
2020,7,4,NV,3430,38057
2020,7,4,NY,34907,342387
2020,7,4,OH,13622,122391
2020,7,4,OK,4498,60157
2020,7,4,OR,7212,44782
2020,7,4,PA,18114,138957
2020,7,4,RI,1939,11419
2020,7,4,SC,6735,70273
2020,7,4,SD,1021,6438
2020,7,4,TN,8044,92464
2020,7,4,TX,35915,431830
2020,7,4,UT,3137,31325
2020,7,4,VA,9951,90757
2020,7,4,VT,996,4006
2020,7,4,WA,10258,72863
2020,7,4,WI,8511,58325
2020,7,4,WV,1878,16764
2020,7,4,WY,739,4184
2020,7,5,AK,928,4445
2020,7,5,AL,5374,97828
