STATE,REPORTDATE,cases,deaths,MMWRyear,MMWRweek,MMWRday
Minnesota,3/5/20,0,0,2020,10,5
Missouri,3/5/20,0,0,2020,10,5
Mississippi,3/5/20,0,0,2020,10,5
Montana,3/5/20,0,0,2020,10,5
North Dakota,3/5/20,0,0,2020,10,5
New Mexico,3/5/20,0,0,2020,10,5
Oklahoma,3/5/20,0,0,2020,10,5
Pennsylvania,3/5/20,0,0,2020,10,5
Puerto Rico,3/5/20,,,2020,10,5
South Dakota,3/5/20,0,0,2020,10,5
Utah,3/5/20,0,0,2020,10,5
Virgin Islands,3/5/20,,,2020,10,5
Vermont,3/5/20,0,0,2020,10,5
West Virginia,3/5/20,0,0,2020,10,5
Wyoming,3/5/20,0,0,2020,10,5
Alaska,3/6/20,0,0,2020,10,6
Arkansas,3/6/20,,,2020,10,6
Arizona,3/6/20,0,0,2020,10,6
California,3/6/20,12,0,2020,10,6
Colorado,3/6/20,0,0,2020,10,6
District of Columbia,3/6/20,0,0,2020,10,6
Delaware,3/6/20,0,0,2020,10,6
Florida,3/6/20,0,2,2020,10,6
Georgia,3/6/20,0,0,2020,10,6
Iowa,3/6/20,0,0,2020,10,6
Illinois,3/6/20,1,0,2020,10,6
Indiana,3/6/20,1,0,2020,10,6
Kansas,3/6/20,0,0,2020,10,6
Kentucky,3/6/20,1,0,2020,10,6
Massachusetts,3/6/20,14,0,2020,10,6
Maryland,3/6/20,0,0,2020,10,6
Michigan,3/6/20,0,0,2020,10,6
Minnesota,3/6/20,1,0,2020,10,6
North Carolina,3/6/20,1,0,2020,10,6
Nebraska,3/6/20,1,0,2020,10,6
New Hampshire,3/6/20,0,0,2020,10,6
New Jersey,3/6/20,2,0,2020,10,6
New Mexico,3/6/20,0,0,2020,10,6
Nevada,3/6/20,1,0,2020,10,6
New York,3/6/20,11,0,2020,10,6
Ohio,3/6/20,0,0,2020,10,6
Oregon,3/6/20,6,0,2020,10,6
Pennsylvania,3/6/20,2,0,2020,10,6
Rhode Island,3/6/20,0,0,2020,10,6
South Carolina,3/6/20,2,0,2020,10,6
Tennessee,3/6/20,0,0,2020,10,6
Texas,3/6/20,5,0,2020,10,6
Virginia,3/6/20,0,0,2020,10,6
Vermont,3/6/20,0,0,2020,10,6
Washington,3/6/20,98,7,2020,10,6
Wisconsin,3/6/20,0,0,2020,10,6
West Virginia,3/6/20,0,0,2020,10,6
Alabama,3/6/20,0,0,2020,10,6
Connecticut,3/6/20,0,0,2020,10,6
Guam,3/6/20,,,2020,10,6
Hawaii,3/6/20,1,0,2020,10,6
Idaho,3/6/20,0,0,2020,10,6
Louisiana,3/6/20,0,0,2020,10,6
Maine,3/6/20,0,0,2020,10,6
Missouri,3/6/20,0,0,2020,10,6
Mississippi,3/6/20,0,0,2020,10,6
Montana,3/6/20,0,0,2020,10,6
North Dakota,3/6/20,0,0,2020,10,6
Oklahoma,3/6/20,1,0,2020,10,6
Puerto Rico,3/6/20,,,2020,10,6
South Dakota,3/6/20,0,0,2020,10,6
Utah,3/6/20,0,0,2020,10,6
Virgin Islands,3/6/20,,,2020,10,6
Wyoming,3/6/20,0,0,2020,10,6
Alaska,3/7/20,0,0,2020,10,7
Alabama,3/7/20,0,0,2020,10,7
Arkansas,3/7/20,,,2020,10,7
Arizona,3/7/20,0,0,2020,10,7
California,3/7/20,14,0,2020,10,7
Colorado,3/7/20,0,0,2020,10,7
Connecticut,3/7/20,0,0,2020,10,7
District of Columbia,3/7/20,2,0,2020,10,7
Delaware,3/7/20,0,0,2020,10,7
Florida,3/7/20,5,0,2020,10,7
Georgia,3/7/20,2,0,2020,10,7
Hawaii,3/7/20,0,0,2020,10,7
Iowa,3/7/20,0,0,2020,10,7
Idaho,3/7/20,0,0,2020,10,7
Illinois,3/7/20,0,0,2020,10,7
Indiana,3/7/20,0,0,2020,10,7
Kansas,3/7/20,1,0,2020,10,7
Kentucky,3/7/20,0,0,2020,10,7
Louisiana,3/7/20,0,0,2020,10,7
Massachusetts,3/7/20,47,0,2020,10,7
Maryland,3/7/20,0,0,2020,10,7
Maine,3/7/20,0,0,2020,10,7
Michigan,3/7/20,0,0,2020,10,7
Minnesota,3/7/20,0,0,2020,10,7
